,cleaned
0,a
1,acung jempol
2,adaptif
4,afinitas
5,afirmasi
6,agilely
11,aklamasi
12,akomodatif
13,akurat
14,alam mimpi
15,alhamdulillah
16,allahu akbar
17,altruistis
18,aman
19,amanah
20,amat
21,ambisius
22,andal
23,aneh
25,angin sepoi
27,antusias
28,antusiasme
29,apik
30,apresiasi
32,aspirasi
34,bagos
35,bagus
38,baik posisi
39,baik sekali
44,banyak
45,banyak akal
46,barang baru
47,batu permata
49,bebas masalah
50,bebas pulsa
51,bebas rasa sakit
52,bebas resiko
53,kerja
54,kerja keras
55,belas kasihan
58,bengal
59,adaptasi
60,alas
62,rap
63,arti
64,baik hati
67,budi luhur
68,cacat
70,canda
71,cita
72,daya cipta
74,dedikasi
75,berdikari
76,empat
78,gaya
79,gema
82,gengsi
83,gizi
87,hutang
88,ikut
90,isi
91,istirahat
93,jasa
95,jenis
96,juang
97,kapasitas besar
98,berkat
100,laku baik
102,kembang
106,kualitas
107,langsung mudah
110,maksud baik
112,manuver
114,nila
115,didik
116,didik baik
117,alam
119,tahu luas
120,pijar
122,sedia laku
124,semangat luap
126,senda gurau
127,seri
128,sifat dermawan
129,sifat damai
131,sinar
132,sorak
134,suka cita
135,suka ria
137,tanggung jawab
139,berterimakasih
141,warna ria
142,wawas
144,besar sekali
145,biaya rendah
146,bijak
148,bikin cemburu
149,bimbing
150,bintang rock
151,bisa guna
152,bisa terap
153,bonus
154,boros
155,brilian
157,cahaya redup
160,cashbacks
161,cekat
162,cemas
168,cergas
169,cermat
170,cetar
171,cetar bahana
174,contoh
176,cukup besar
179,dapat andal
180,dapat capai
181,dapat ganti
182,dapat percaya
183,dapat raih
184,dapat sesuai
185,daya tarik
186,dengan mewah
187,dengan senang hati
188,dengan sopan
189,dermawan
190,dewasa
191,akses
192,aku
193,diam
194,anggap baik
195,baca
197,beri
199,buat dengan baik
203,ganggu gugat
204,ganti oleh guna
208,izin
209,kelola
210,kelola dengan baik
211,kembali
212,layar
214,lepas
215,lihat
218,dinamis
219,baharu
221,oleh
222,diplomatik
223,poles
232,tambah lagi
234,terima dengan baik
236,verifikasi
238,dua
241,durian runtuh
242,edukatif
243,efektif
244,efektivitas
245,efisien
246,egois
247,ekonomis
248,ekstase
249,elastis
250,elegan
251,elite
253,empati
255,enchantingly
256,energi
257,ergonomis
258,etis
259,euforia
260,evaluatif
261,examplar
262,fajar
263,fantastis
264,fasih
265,fav
266,fave
268,fenomenal
269,firdaus
270,fleksibel
271,fleksibilitas
272,futuristik
273,gagah
274,gaib
275,gainfully
277,gamblang
279,gembira luar biasa
281,gemuk
282,gesit
283,giat
284,gigih
285,gokil
286,gratis
287,gurih
288,habis
290,hak istimewa
291,halal
293,handal
294,handier
296,harga diri
297,harga rendah
298,harmoni
299,harmonis
300,harta
301,harum
302,hasil karya
303,hasil baik
306,hebat
309,hemat energi
311,heroik
312,hore
313,horee
315,hubung
316,hujan es
317,iba
321,ikhwan
322,ilahi
323,ilu
324,imajinatif
325,iman
326,imut
328,individual
329,infalibilitas
330,inovasi
331,inovatif
332,inspirasi
333,inspirasional
334,inspiratif
335,instrumental
336,integral
337,intelijen
339,intrik
340,intuitif
341,irama
342,iri
343,istimewa
346,jamin mutu
348,jawa
352,jenaka
353,jenius
354,juara
357,kanan
358,karisma
359,karismatik
360,karya
361,kasih sayang
363,kaya fitur
364,ada yg benar
369,angker
373,kebaji
374,kebal
376,bangkit
383,sama
399,gembira yg luap
409,kekal
411,kasih
412,kencang
413,lancar bicara
414,langsung hidup
415,kelas atas
416,kelas satu
417,kelas utama
422,kelip redup
429,masyhur
431,mau baik
437,kenang
440,panjang akal daya
443,perkasa
444,kepincut
446,puas diri
448,keramat
449,keranjingan
451,keren
452,rendah hati
454,riuh di pawai
455,kerubin
461,sejahtera
462,sembrono
477,tenar
478,buka
480,ketidakberpihakan
481,ketrampilan
483,ulet
487,khusus
489,klasik
490,koheren
491,koherensi
492,komitmen
493,kompak
494,kompetitif
495,komplementer
496,konsisten
497,konstruktif
498,kontinuitas
499,kontras
500,kontribusi
501,kooperatif
502,koperasi
503,korek api
504,kreatif
505,kualitas baik
506,kualitas tinggi
509,kue panas
510,kukuh
511,kurus
512,lagu
513,lancar
514,landas
515,lapang
516,laudably
518,lebih baik
519,lebih baik dari kira
520,lebih cemerlang dari
521,lebih cepat
522,lebih kenal
524,lebih hangat
525,lebih kencang
526,lebih keras
529,lebih murah
531,lebih tenang
532,ledak
533,legendaris
534,lemah lembut
535,lembut
537,licin
539,liris
540,logis
541,loyalitas
542,luar biasa
543,luas
545,lumayan
547,maaf
548,mahal
549,mahir
550,main
552,makan
554,malaikat
557,manis
558,manis sekali
559,manja
560,manjur
561,mantab
562,manusiawi
563,mapan
565,master
566,masuk akal
568,mati
569,mau kalah
570,mawas
572,mekar
573,lampau
574,lebih
577,lurus
578,pada
579,panggil
582,banding indah puisi
584,bara
585,bayar
589,kati
591,besut
592,biasa
593,buat lebih baik dr
594,budaya
595,bujuk
597,pelihara
598,peluk
600,penuh syarat
601,riah
603,pihak
604,mikat
605,mikat hati
606,pimpin
608,baik akhlak
614,man
615,oleh kembali
617,muas
623,puji lebih
624,pukau
629,tambah
631,tantang
634,tawan
638,dalam
640,dapat
649,tegas lagi
651,tentu
652,rang
656,kaget
660,akal
662,anggap
664,anjur
667,atas
668,kecoh
671,kesah
672,kesan
674,gelenyar
675,geli
676,gelitik
678,gempar
679,getar
680,giur
681,goda
682,gugah
686,haru
689,hidup
694,ilham
698,ucap selamat
699,undang
703,timbul asa cinta
704,timbul rasa antusias
708,titip
711,tonjol
712,mentereng
713,tunjuk gejala
714,turut hak
715,salip
716,sambut
721,selaras
722,selesai
723,sembuh
725,serah
726,seringai
728,solok
731,susul
734,rayu
735,reda
740,rendah
741,renung
742,revitalisasi
743,revolusi
745,meriang
750,minim resiko
751,modern
752,modis
753,montok
754,monumental
755,moralitas
756,muda
758,mudah guna
759,mujarab
760,mukjizat
762,mulus
764,murah banget
767,mutakhir
768,nasib
770,non-kekerasan
773,obat untuk segala sakit
774,obsesi
775,optimal
776,optimis
777,optimisme
778,otoriter
779,padat
780,pahlawan
781,pahlawan wanita
782,paling untung
783,paling kenal
785,pandai bicara
786,panorama
788,pasien
790,pasu jaga damai
791,patriot
792,patriotik
793,patuh
794,pedih
795,peka
796,lamun
798,longgar
801,bela
803,beri tuhan
806,pecah masalah
810,tampil baik
816,tegas kembali
817,tentu nasib sendiri
820,ampun
823,asih
824,asuh
825,kembali dana
826,gemar
835,tinggi derajat
837,tipu
838,jual baik
839,tolong
842,penuh gaya
844,penuh kasih
845,penuh bahagia
846,penuh kebaji
847,penuh gembira
848,penuh percaya
850,penuh asa
851,penuh perhati
852,penuh peristiwa
853,penuh semangat
854,penuh sukacita
858,asa kagum
859,asa suka cita
862,beda
864,perdana menteri
865,perhati
866,periang
868,lawan
870,permai
871,permata
872,sahabat
874,persik
875,personal
876,pertama di kelas
879,tualang
880,piala
881,pikiran-bertiup
882,pilih
883,pintar
884,plus
885,populer
886,portabel
887,positif
888,preferensi
889,prestasi
890,pro
891,proaktif
892,prodigi
893,produktif
894,progresif
895,promotor
897,puitis
899,pukul yg tdk keras
901,puncak
902,rahmat
903,rajin
904,rak
906,ramah tamah
908,rapi
909,rasa hormat
910,rasa manis
911,rasional
912,rata
913,realisasi
914,realistis
918,reputasi
919,reseptif
920,resiko rendah
921,responsif
924,ria gembira
927,ringkas
928,rohani
929,rokstar
931,rujuk
932,rumit
936,salut
937,sangat
938,sangat baik
939,sangat harga
940,sangat indah
941,sangat muas
942,sangat tarik
943,sangat sayang
944,sangat mudah
945,sangat penting
946,sangat rajin
947,sangat sopan
948,sangat tepat
950,saran
952,sayang anak
953,cara kuat
954,cara senang
955,cara buka
959,segera
962,seksi
966,selektif
967,makin lembut
968,makin makmur
971,semua
973,sengaja
974,sensasi
975,sensasional
977,panjang masa
979,patut
980,sepele
981,sepenuh hati
982,seperti
983,seperti malaikat
984,seperti patung
985,seperti raja
986,serang balik
987,serba cepat
988,serba guna
989,sesak napas
990,sesuai
991,sesuai dengan mode akhir
993,tajam silet
996,wajar
997,wenang
998,siap
999,sigap
1000,sihir
1001,sikap tenang
1002,sila
1003,silau
1004,simpatisan
1005,sok aksi
1006,solidaritas
1008,sorak girang
1009,sosial
1010,spektakuler
1011,spontan
1012,sporty
1014,stabilitas
1015,sub
1016,subhanallah
1018,substantif
1021,sukacita
1022,sukses
1023,sulit
1026,super
1027,supremasi
1028,surealis
1029,surga
1030,surgawi
1031,swasembada
1032,swatantra
1034,taat
1035,taat hukum
1037,tabung
1038,tahan karat
1039,tahan lama
1041,tak ada salah
1042,tak ada tara
1043,tak bahaya
1044,tak cacat
1045,tak suara
1046,tak syarat
1047,tak dapat sangsi
1048,tak ragu lagi
1049,tak sengaja
1050,tak kenal takut
1051,tak perlu soal
1052,tak tahu malu
1053,tak bantah
1054,tak batas
1055,tak ganti
1056,tak hitung
1057,tak kalah
1058,tak kendali
1059,tak lupa
1060,tak nilai
1061,tak pada
1062,tak tahan
1063,takdir
1065,takzim
1066,tampak
1067,tampan
1068,tanda
1069,tangan ke bawah
1070,tangkas
1071,tanpa cela
1072,tanpa dosa
1073,tanpa malu
1074,tanpa rasa sakit
1075,tanpa rasa takut
1076,tanpa tenaga
1079,tdk bahaya
1082,teladan
1083,teliti
1084,teman
1086,tepat
1087,tepat pada waktu
1088,tepat waktu
1089,tepuk tangan sorak
1090,terampil
1092,terang benderang
1093,anyar
1096,batas
1097,beban
1098,berat
1106,dengar
1107,depan
1108,elak
1109,ganti
1112,terima kasih
1114,jangkau
1116,kejar
1118,kekang
1119,muka
1120,kenal
1121,kenal di dunia
1123,terlalu manja
1124,motivasi
1128,terompet
1129,padu
1131,ajar
1137,terrifically
1139,sedia
1142,tertib
1144,terus terang
1145,utama
1146,tetap
1147,tiada banding
1148,tiada dua
1149,tidak egois
1150,tidak nilai
1151,tipis
1152,tokoh
1153,top
1154,trendi
1155,tulang punggung
1158,tunggu dulu
1159,uang kembali
1160,ulung
1163,unik
1166,utuh
1167,uye
1168,variasi
1169,visioner
1170,wah
1171,wahyu
1172,warna-warni
1174,whooa
1175,whooooa
1179,yay
1180,yeah
1181,yihaa
